target_index,target_wavelength_nm,target_peak_count,hybrid_fallback_used,hybrid_nominal_valid,hybrid_robust_valid,n_H_at_target,n_L_at_target,quarter_wave_d_H0_nm,quarter_wave_d_L0_nm,hybrid_delta_d_H_vs_quarter_wave_nm,hybrid_delta_d_L_vs_quarter_wave_nm,hybrid_rel_delta_d_H_vs_quarter_wave,hybrid_rel_delta_d_L_vs_quarter_wave,hybrid_cavity_order_nearest,hybrid_cavity_lc0_for_nearest_order_nm,hybrid_delta_L_c_vs_nearest_fp_order_nm,hybrid_cavity_optical_phase_order,hybrid_bragg_center_from_H_nm,hybrid_bragg_center_from_L_nm,hybrid_bragg_center_mean_nm,hybrid_bragg_center_offset_from_target_nm,delta_d_H_vs_dataset_nm,delta_d_L_vs_dataset_nm,delta_L_c_vs_dataset_nm,abs_delta_d_H_vs_dataset_nm,abs_delta_d_L_vs_dataset_nm,abs_delta_L_c_vs_dataset_nm,relative_delta_d_H_vs_dataset,relative_delta_d_L_vs_dataset,relative_delta_L_c_vs_dataset,hybrid_peak_shift_nm,hybrid_yield_r60,baseline_peak_shift_nm,baseline_yield_r60
68054,4051.490234375,1,False,True,True,3.8236882389348956,1.3650643261666666,264.8941271623886,741.9962115910456,-16.687919886997975,73.73498958082939,-0.06299845174282684,0.09937380869198932,2,2967.9848463641824,-608.2482740985574,1.5901271026746187,3796.252622358192,4454.102249843245,4125.177436100718,73.6872017257183,-10.67999267578125,21.57080078125,-384.98828125,10.67999267578125,21.57080078125,384.98828125,-0.0412536190719922,0.027161768290939633,-0.1402647994959792,0.0,0.9666666666666667,6.006103515625,0.9
30621,4612.4296875,4,False,True,True,3.776795644018807,1.3389585131530206,305.31369196560587,861.197274260296,-11.59494196560587,48.99059195064149,-0.03797714374012437,0.05688660823122175,1,1722.394548520592,-99.66224871590452,0.9421373872777832,4437.262782266596,4874.815168126869,4656.038975196732,43.60928769673228,-16.390228271484375,44.19854736328125,-107.9210205078125,16.390228271484375,44.19854736328125,107.9210205078125,-0.052853123965780756,0.05103821306028903,-0.06235854358649106,3.5035400390625,0.95,3.5035400390625,0.9166666666666666
8036,4616.00732421875,1,False,True,True,3.7774636138050317,1.338788827692077,305.49647833464206,861.9745005222806,-37.50679327604831,-38.97694192853055,-0.12277324269173152,-0.04521820762089129,2,3447.898002089122,826.5404744733778,2.47944601259815,4049.2851367356316,4407.279746652672,4228.282441694151,-387.7248825245988,-16.623626708984375,42.37896728515625,717.86767578125,16.623626708984375,42.37896728515625,717.86767578125,-0.058407762468115396,0.05428895462778316,0.20184265012341676,4.00390625,0.8666666666666667,4.00390625,0.85
36767,4934.88330078125,5,False,True,False,3.7912167496468445,1.3240822394555793,325.4155345537115,931.755436658209,-31.594794807617745,50.196711779291036,-0.09709061631291871,0.05387326953446523,2,3727.021746632836,-196.42140483596086,1.8945960511159254,4455.752439676068,5200.74159896537,4828.247019320719,-106.63628146053088,-6.087860107421875,6.3599853515625,49.158203125,6.087860107421875,6.3599853515625,49.158203125,-0.020299051479001833,0.006519102543264551,0.014120068973414912,10.010107421875,0.45,12.012060546875,0.6833333333333333
229,4646.8818359375,5,False,True,True,3.7832723080856443,1.3372987582226563,307.06762939097337,868.7067507101895,28.24416870472976,-19.580224831283203,0.09198028708121467,-0.022539510387453398,2,3474.827002840758,-65.16049893450781,1.9624956874795565,5074.303361239513,4542.143394527118,4808.223377883316,161.34154194581606,0.978546142578125,-6.35345458984375,-64.1064453125,0.978546142578125,6.35345458984375,64.1064453125,0.0029268585665996557,-0.007426771794662513,-0.01845441433554761,10.81083984375,0.5333333333333333,9.209228515625,0.75
41523,3055.84814453125,3,True,True,False,3.856917272025185,1.396236479031764,198.07581606013352,547.1580549611414,-2.790629292555394,-12.619175566610124,-0.014088692643367384,-0.02306312673676407,3,3282.9483297668485,24.246738592526526,3.0221569785665032,3012.7952392581446,2985.3707314856206,2999.0829853718824,-56.76515915936761,6.791748046875,-15.662841796875,23.3642578125,6.791748046875,15.662841796875,23.3642578125,0.036031747804965,-0.028467453287784522,0.007114939581375393,18.01806640625,0.31666666666666665,10.009765625,0.0
29927,4610.03369140625,5,False,True,True,3.7763482947979794,1.3390721540096944,305.19124108313144,860.6768644994307,5.62257117272793,-1.3201140111494851,0.01842310792660131,-0.0015338091049040372,2,3442.707457997723,-156.11761424772294,1.909305326605636,4694.964839648295,4602.962779756457,4648.963809702376,38.93011829612624,9.129913330078125,-28.77392578125,-102.705810546875,9.129913330078125,28.77392578125,102.705810546875,0.03026317732761807,-0.03239830190542551,-0.03030299537801219,12.01201171875,0.6666666666666666,11.611669921875,0.6166666666666667
29756,3350.93701171875,2,True,True,False,3.8559161155544546,1.3904031504604322,217.25945996344035,602.5117626152327,1.6559453099971506,0.2505664863298307,0.007621971030747325,0.0004158698665769349,2,2410.0470504609307,-539.5689010468682,1.5522337201311704,3376.477756547929,3352.3305654467213,3364.404160997325,13.467149278575107,6.4819183349609375,-5.5042724609375,-1926.9417724609375,6.4819183349609375,5.5042724609375,1926.9417724609375,0.030512695660068808,-0.009049111765791946,-0.5074344718530622,10.010009765625,0.45,2.001953125,0.0
40033,4307.56982421875,4,True,True,False,3.8019890645902863,1.353500775185615,283.24449064945867,795.6349015810544,12.455338452103831,32.7755598447269,0.043973806599184546,0.04119422084123836,2,3182.5396063242174,86.1779229726576,2.0541567010204105,4496.990066581428,4485.016806846672,4491.003436714051,183.43361249530062,-1.631927490234375,-1.65216064453125,90.796875,1.631927490234375,1.65216064453125,90.796875,-0.005488574476337649,-0.0019904048207959176,0.028571158589889054,10.510498046875,0.3333333333333333,28.0279541015625,0.0
52713,4291.53173828125,2,True,True,True,3.8043532675570892,1.3543278913714178,282.0145394276828,792.1884658846471,17.329057984426584,-82.88292389245964,0.061447392108201174,-0.10462525959640577,2,3168.7538635385886,50.525677477036425,2.031889935067796,4555.235171748209,3842.5291160973597,4198.882143922784,-92.64959435846595,24.825225830078125,-60.8477783203125,-98.5615234375,24.825225830078125,60.8477783203125,98.5615234375,0.09043192878863439,-0.07900735699694536,-0.02970652346595926,16.0159912109375,0.6,2.001953125,0.9666666666666667
