target_index,benchmark_subset,gt_d_H_nm,gt_d_L_nm,gt_N,gt_L_c_nm,target_peak_count,baseline_nominal_valid,baseline_robust_valid,baseline_yield_r60,baseline_mse,baseline_peak_shift_nm,baseline_missing_peaks,baseline_false_peaks,teacher_nominal_valid,teacher_robust_valid,teacher_yield_r60,teacher_mse,teacher_peak_shift_nm,teacher_missing_peaks,teacher_false_peaks,hybrid_final_source,hybrid_fallback_used,hybrid_d_H_nm,hybrid_d_L_nm,hybrid_N,hybrid_L_c_nm,hybrid_nominal_valid,hybrid_robust_valid,hybrid_yield_r60,hybrid_mse,hybrid_peak_shift_nm,hybrid_missing_peaks,hybrid_false_peaks,hybrid_robustness_mse_mean,hybrid_robustness_peak_shift_mean_nm,hybrid_robustness_missing_peak_mean,hybrid_robustness_false_peak_mean
16293,strategy_1_2_engineering_use_case,298.8802795410156,969.5100708007812,6,3427.346435546875,4,True,True,0.9,0.00029029516601211604,5.50543212890625,0.0,0.0,True,True,0.8333333333333334,0.0006948986668452986,9.00897216796875,0.0,0.0,primary,False,299.3924560546875,966.8765258789062,6.0,3356.59619140625,True,True,0.8333333333333334,0.0006948986668452986,9.00897216796875,0.0,0.0,0.001780634803137224,13.004643758138021,0.0,0.05
41175,strategy_1_2_engineering_use_case,218.4757537841797,630.5438842773438,3,1049.2889404296875,1,True,False,0.45,0.00022142450849941343,18.01806640625,0.0,0.0,True,True,0.6666666666666666,4.456985226798675e-05,4.00390625,0.0,0.0,primary,False,232.30162048339844,617.4984130859375,3.0,1025.57861328125,True,True,0.6666666666666666,4.456985226798675e-05,4.00390625,0.0,0.0,0.00014443262585896448,14.047355143229167,0.0,0.0
19847,strategy_1_2_engineering_use_case,341.8278503417969,806.6302490234375,4,1642.9488525390625,3,True,False,0.21666666666666667,0.0011181510205288795,8.675374348958334,0.0,0.0,True,False,0.08333333333333333,0.0016532143421129257,19.352783203125,0.0,0.0,primary,False,338.5143737792969,808.8829956054688,4.0,1620.502685546875,True,False,0.08333333333333333,0.0016532143421129257,19.352783203125,0.0,0.0,0.0028210093338821023,24.819278971354166,0.21666666666666667,0.6666666666666666
94414,strategy_1_2_engineering_use_case,270.61346435546875,706.3717041015625,6,4180.4375,1,True,False,0.48333333333333334,2.535839508111531e-05,4.00390625,0.0,0.0,True,True,0.55,4.9230898057695e-05,14.013916015625,0.0,0.0,primary,False,262.4781799316406,738.8400268554688,6.0,2781.7158203125,True,True,0.55,4.9230898057695e-05,14.013916015625,0.0,0.0,7.71150580756173e-05,14.463373923788266,0.18333333333333332,0.0
16958,strategy_1_2_engineering_use_case,197.72727966308594,529.1695556640625,3,1178.8809814453125,1,False,False,0.0,0.009166034555462473,,1.0,1.0,False,False,0.0,0.009025451754593907,,1.0,1.0,primary,False,184.825439453125,577.4577026367188,3.0,1400.9796142578125,False,False,0.0,0.009025451754593907,,1.0,1.0,0.009038540971521033,,1.0,1.0
33209,strategy_1_2_engineering_use_case,268.52471923828125,955.9600219726562,6,1463.796630859375,3,True,True,0.8333333333333334,0.000870378083089091,7.340738932291667,0.0,0.0,True,True,0.7166666666666667,0.0012096567194302902,13.346761067708334,0.0,0.0,primary,False,252.26303100585938,983.0913696289062,6.0,1457.8304443359375,True,True,0.7166666666666667,0.0012096567194302902,13.346761067708334,0.0,0.0,0.0016662863098990516,14.536783175998263,0.21666666666666667,0.05
35559,strategy_1_2_engineering_use_case,302.993896484375,834.194580078125,4,3112.09228515625,1,True,False,0.3333333333333333,0.0009561008922118023,16.01611328125,0.0,0.0,True,False,0.38333333333333336,0.0013003549768750978,18.01806640625,0.0,0.0,primary,False,300.83221435546875,831.7391357421875,4.0,3054.68115234375,True,False,0.38333333333333336,0.0013003549768750978,18.01806640625,0.0,0.0,0.001796294684456845,18.83246987552966,0.016666666666666666,0.21666666666666667
65253,strategy_1_2_engineering_use_case,308.0381164550781,889.3349609375,7,1710.822021484375,3,True,True,0.9,0.00022137661485560509,2.66943359375,0.0,0.0,True,True,0.9,0.00020881216158456344,2.66943359375,0.0,0.0,primary,False,293.72125244140625,926.1847534179688,7.0,1740.357666015625,True,True,0.9,0.00020881216158456344,2.66943359375,0.0,0.0,0.0011261736814867807,8.3972900390625,0.0,0.05
45364,strategy_1_2_engineering_use_case,326.3738708496094,850.630615234375,10,3555.24609375,7,True,False,0.31666666666666665,9.481102434877614e-05,3.145961216517857,0.0,0.0,True,False,0.25,0.0001932387132028563,4.575927734375,0.0,0.0,primary,False,327.01116943359375,851.5008544921875,10.0,3500.796875,True,False,0.25,0.0001932387132028563,4.575927734375,0.0,0.0,0.0008273544144301768,8.222493935236855,0.7833333333333333,0.43333333333333335
3961,strategy_1_2_engineering_use_case,346.866943359375,885.4381103515625,4,1846.8359375,3,False,False,0.0,0.0052778320518870265,20.02001953125,1.0,1.0,False,False,0.0,0.004589068150201657,18.0179443359375,1.0,1.0,fallback_residual_refine,True,313.7437744140625,967.353515625,4.0,2091.3955078125,True,True,0.6166666666666667,0.0019023175711224138,8.675374348958334,0.0,0.0,0.0033730412806515756,13.3466796875,0.21666666666666667,0.016666666666666666
66405,strategy_1_2_engineering_use_case,338.9783020019531,959.7838745117188,9,1990.871826171875,6,True,True,0.8,0.0020152013522121595,9.3426513671875,0.0,0.0,True,True,0.8166666666666667,0.002340368742177459,9.342692057291666,0.0,0.0,primary,False,322.9304504394531,996.7618408203125,9.0,1984.1898193359375,True,True,0.8166666666666667,0.002340368742177459,9.342692057291666,0.0,0.0,0.003424684281633771,11.42696967230903,0.08333333333333333,0.016666666666666666
